news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Tom Cole,right,5.0,Author,129,72,0.6417910447761194,https://www.allsides.com/news-source/tom-cole,checked,0,0,0,,,,,,0,-1486.2225912334534,70.01294363655526
Tom Nichols,right-center,4.0,Author,1,6,0.1428571428571428,https://www.allsides.com/news-source/tom-nichols-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1624.3002678919465,110.93419657064274
Tom Toles (cartoonist),left,1.0,Author,50,39,0.5617977528089888,https://www.allsides.com/news-source/tom-toles-cartoonist,checked,0,0,0,,,,,,0,-1566.090598224915,100.8528348099373
Tony Auth (cartoonist),left,1.0,Author,42,38,0.525,https://www.allsides.com/news-source/tony-auth,checked,0,0,0,,,,,,0,-1572.5581105249582,105.66649262396943
Townhall,right,5.0,News Media,8940,13747,0.3940582712566668,https://www.allsides.com/news-source/townhall-bias,0,0,0,1,Medium,https://twitter.com/townhallcom,https://en.wikipedia.org/wiki/Townhall,https://www.facebook.com/townhallcom/,townhallcom,2,14337.255690088656,3845.8414989856974
Truth or Fiction,center,3.0,News Media,210,170,0.5526315789473685,https://www.allsides.com/news-source/truth-or-fiction,0,0,0,1,Low or Initial Rating,,,,,0,-1359.9338739439852,84.71561990042984
Truthdig,left,1.0,News Media,14,3,0.8235294117647058,https://www.allsides.com/news-source/truthdig-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/Truthdig?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/Truthdig,https://www.facebook.com/Truthdig/,Truthdig,0,-1616.9908112381975,99.77298984479215
TruthOut,left-center,2.0,News Media,280,299,0.4835924006908463,https://www.allsides.com/news-source/truthout,checked,0,0,0,,,,,,0,-1220.1361501680153,129.4100640368712
Tucker Carlson,right,5.0,Author,81,55,0.5955882352941176,https://www.allsides.com/news-source/tucker-carlson-media-bias,0,0,0,1,Medium,,,,,0,-1532.6390944163238,90.95347523361951
U.S. News & World Report,left-center,2.0,News Media,1448,1628,0.47074122236671,https://www.allsides.com/news-source/us-news-and-world-report,0,0,0,0,Low or Initial Rating,https://twitter.com/usnews,https://en.wikipedia.org/wiki/U.S._News_%26_World_Report,https://www.facebook.com/usnewsandworldreport,usnews,0,542.6976904768719,280.677524263101
Univision,left-center,2.0,News Media,290,361,0.445468509984639,https://www.allsides.com/news-source/univision,0,0,0,1,Low or Initial Rating,,,,,0,-1170.0157648176037,167.25116135622739
Upworthy,left,1.0,News Media,386,262,0.595679012345679,https://www.allsides.com/news-source/upworthy,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/Upworthy,,,0,-1169.2120798718702,29.35136157874389
USA TODAY,center,3.0,News Media,12275,9878,0.5541010246919154,https://www.allsides.com/news-source/usa-today-media-bias,0,1,1,1,High,https://twitter.com/@USATODAY?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/USA_Today,https://www.facebook.com/usatoday/,USATODAY,2,14067.788010437078,-1255.0185153323691
Vanity Fair,left-center,2.0,News Media,3331,2146,0.6081796603980281,https://www.allsides.com/news-source/vanity-fair,0,0,0,1,Low or Initial Rating,https://twitter.com/HWD,https://en.wikipedia.org/wiki/Vanity_Fair_(magazine),https://www.facebook.com/vanityfairmagazine/,HWD,0,2260.550831400409,-648.297010063334
Vice,left,1.0,News Media,1043,312,0.7697416974169742,https://www.allsides.com/news-source/vice-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-660.2965554262114,-389.1626342918281
Victor Hanson,right-center,4.0,Author,135,147,0.4787234042553192,https://www.allsides.com/news-source/victor-hanson,0,0,0,0,,,,,,0,-1429.9946510851964,120.00714956044843
Volante,center,3.0,News Media,108,118,0.4778761061946903,https://www.allsides.com/news-source/volante,0,0,0,1,Low or Initial Rating,,,,,0,-1469.5536996042492,117.7533868051252
Vote Smart,center,3.0,Think Tank / Policy Group,189,204,0.4809160305343511,https://www.allsides.com/news-source/vote-smark,0,0,0,0,,,,,,0,-1351.5684411885225,123.79272490113007
Vox,left,1.0,News Media,12519,12386,0.5026701465569163,https://www.allsides.com/news-source/vox-news-media-bias,0,0,0,1,High,https://twitter.com/@atrupar,https://en.wikipedia.org/wiki/Vox_(website),https://www.facebook.com/Vox,atrupar,2,15979.35363587442,386.7843591837326
VT Digger,left-center,2.0,News Media,117,150,0.4382022471910112,https://www.allsides.com/news-source/vt-digger,0,0,0,1,Low or Initial Rating,https://twitter.com/vtdigger,,https://www.facebook.com/vtdigger,vtdigger,0,-1440.9137807901077,134.62809006946512
Wake Up to Politics,center,3.0,News Media,21,16,0.5675675675675675,https://www.allsides.com/news-source/wake-politics-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/wakeup2politics,,https://www.facebook.com/WakeUpToPolitics/,wakeup2politics,0,-1602.941854580271,104.31463025825578
Wall Street Journal - Editorial,right-center,4.0,News Media,5061,3729,0.5757679180887372,https://www.allsides.com/news-source/wall-street-journal-opinion,0,0,0,1,High,,,,,2,4604.873240612136,-702.5314549933915
Wall Street Journal - News,center,3.0,News Media,12470,17840,0.4114153744638733,https://www.allsides.com/news-source/wall-street-journal-media-bias,0,1,1,1,High,https://twitter.com/WSJ?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,https://www.facebook.com/wsj,WSJ,1,19717.874569917465,4358.179396227541
Walt Handelsman (cartoonist),left,1.0,Author,67,77,0.4652777777777778,https://www.allsides.com/news-source/walt-handelsman-cartoonist,checked,0,0,0,,,,,,0,-1527.5234224356127,116.5236065353298
WANDTV,center,3.0,News Media,0,0,,https://www.allsides.com/news-source/wandtv-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1629.1739301722844,107.29447017702451
Washington Examiner,right-center,4.0,News Media,5011,2681,0.6514560582423297,https://www.allsides.com/news-source/washington-examiner,0,0,0,1,Medium,https://twitter.com/@dcexaminer,https://en.wikipedia.org/wiki/The_Washington_Examiner,https://www.facebook.com/WashingtonExaminer/,dcexaminer,2,3843.612201994495,-1424.5325862790032
Washington Free Beacon,right,5.0,News Media,437,443,0.4965909090909091,https://www.allsides.com/news-source/washington-free-beacon,0,0,0,1,Low or Initial Rating,https://twitter.com/@elianayjohnson,https://en.wikipedia.org/wiki/Washington_Free_Beacon,,elianayjohnson,0,-1007.1499155942844,124.73398254055402
Washington Monthly,left-center,2.0,News Media,167,149,0.5284810126582279,https://www.allsides.com/news-source/washington-monthly,0,0,0,1,Low or Initial Rating,https://twitter.com/washmonthly,https://en.wikipedia.org/wiki/Washington_Monthly,https://www.facebook.com/WashingtonMonthly/,washmonthly,0,-1405.5084677127443,99.3086321724404
Washington Post,left-center,2.0,News Media,24245,15197,0.6147000659195782,https://www.allsides.com/news-source/washington-post-media-bias,0,1,1,1,High,https://twitter.com/@farhip,https://en.wikipedia.org/wiki/The_Washington_Post,https://www.facebook.com/washingtonpost/,farhip,1,26389.95576498036,-5697.635160900485
Washington Times,right-center,4.0,News Media,21112,10655,0.6645890389397803,https://www.allsides.com/news-source/washington-times-bias,0,1,0,1,Medium,https://twitter.com/WashTimes,https://en.wikipedia.org/wiki/The_Washington_Times,https://www.facebook.com/TheWashingtonTimes/,WashTimes,1,20985.263557194638,-6808.830695271972
Watchdog.org,right-center,4.0,News Media,477,512,0.4823053589484327,https://www.allsides.com/news-source/watchdogorg,0,0,0,1,Low or Initial Rating,,,,,0,-930.5275373916347,146.87020416408293
Western Journalism,right,5.0,News Media,818,354,0.6979522184300341,https://www.allsides.com/news-source/western-journalism,0,0,0,1,Medium,,,https://www.facebook.com/WesternJournalism/,,0,-793.6723348632332,-203.1521691849535
WFAE,center,3.0,News Media,116,139,0.4549019607843137,https://www.allsides.com/news-source/wfae,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/WFAE,,,0,-1449.2472063456437,127.37864622475372
WGBH,center,3.0,News Media,289,238,0.5483870967741935,https://www.allsides.com/news-source/wgbh,0,0,0,1,Low or Initial Rating,https://twitter.com/wgbh,,https://www.facebook.com/WGBHBoston/,wgbh,0,-1255.8475867198867,79.14383479249602
WGN,center,3.0,News Media,1,2,0.3333333333333333,https://www.allsides.com/news-source/wgn-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1627.0680846956245,108.0464201251092
Whatfinger News,right,5.0,News Media,65,47,0.5803571428571429,https://www.allsides.com/news-source/whatfinger-news-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1549.7258199859334,96.24911652361598
Whitehouse.gov,right-center,4.0,Think Tank / Policy Group,405,476,0.4597048808172531,https://www.allsides.com/news-source/whitehousegov,0,0,0,0,Low or Initial Rating,https://twitter.com/@WhiteHouse,,,WhiteHouse,0,-1007.4178247814725,170.70059693965584
Willam A. Galston,left-center,2.0,Author,79,77,0.5064102564102564,https://www.allsides.com/news-source/willam-galston,0,0,0,1,Low or Initial Rating,,,,,0,-1518.860062996701,108.22018897621899
William Bennett,right,5.0,Author,95,132,0.4185022026431718,https://www.allsides.com/news-source/william-bennett,checked,0,0,0,,,,,,0,-1469.251720291114,136.85597568243656
William McGurn,right,5.0,Author,75,35,0.6818181818181818,https://www.allsides.com/news-source/william-mcgurn,0,0,0,0,,,,,,0,-1550.8097916502707,80.66627603618738
Wisconsin Gazette,left-center,2.0,News Media,168,149,0.5299684542586751,https://www.allsides.com/news-source/wisconsin-gazette,0,0,0,0,,,,,,0,-1404.7865448022544,98.61669107582966
WND.com,right,5.0,News Media,439,178,0.7115072933549432,https://www.allsides.com/news-source/wndcom,0,0,0,1,High,,https://en.wikipedia.org/wiki/WND,,,0,-1189.0728193079117,-67.96542275785133
Yahoo! News,left-center,2.0,News Media,1740,1393,0.5553782317267795,https://www.allsides.com/news-source/yahoo-news-media-bias,1,0,1,0,Medium,,,,,0,590.8974418062028,-91.02905458705119
Yahoo! The 360,allsides,,News Media,6,4,0.6,https://www.allsides.com/news-source/yahoo-360-media-bias,1,0,0,1,Medium,,,,,0,-1622.0744354584233,106.03053812553377
Yes! Magazine,left,1.0,News Media,354,166,0.6807692307692308,https://www.allsides.com/news-source/yes-magazine,checked,0,0,0,,,,,,0,-1258.741566690687,-17.8129732342437
