news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Countable,center,3.0,News Media,23,25,0.4791666666666667,https://www.allsides.com/news-source/countable-media-bias,0,0,0,1,High,,,,,0,-1595.2704125988787,109.42824147098632
Counter Currents,left-center,2.0,News Media,289,200,0.591002044989775,https://www.allsides.com/news-source/counter-currents,0,0,0,1,Low or Initial Rating,https://twitter.com/countercurrents,,https://www.facebook.com/countercurrents/,countercurrents,0,-1282.1416869510638,51.70991723501425
Counterpointing,allsides,,News Media,328,313,0.5117004680187207,https://www.allsides.com/news-source/counterpointing,0,0,0,0,Low or Initial Rating,,,,,0,-1175.7954811811421,106.30368394730063
CrowdPAC,center,3.0,News Media,341,356,0.4892395982783357,https://www.allsides.com/news-source/crowdpac,0,0,0,1,Low or Initial Rating,,,,,0,-1136.6563132798933,128.35196996903932
CU Independent,center,3.0,News Media,278,342,0.4483870967741935,https://www.allsides.com/news-source/cu-independent,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/CU_Independent,,,0,-1191.8261672686108,161.83759875514653
Current Affairs,left,1.0,News Media,206,79,0.7228070175438597,https://www.allsides.com/news-source/current-affairs-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1425.789107922044,21.78640249011984
Daily Beast,left,1.0,News Media,7713,4241,0.6452233561987619,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast,2,6873.750589417795,-2167.947298938657
Daily Cardinal,center,3.0,News Media,339,362,0.4835948644793152,https://www.allsides.com/news-source/daily-cardinal,0,0,0,1,Low or Initial Rating,https://twitter.com/dailycardinal,https://en.wikipedia.org/wiki/The_Daily_Cardinal,https://www.facebook.com/The-Daily-Cardinal-67904168706/?ref=br_rs,dailycardinal,0,-1133.9485028062936,134.0675421510602
Daily Kos,left,1.0,News Media,5243,1937,0.7302228412256268,https://www.allsides.com/news-source/daily-kos,0,0,0,0,Low or Initial Rating,https://twitter.com/@Devilstower,https://en.wikipedia.org/wiki/Daily_Kos,https://www.facebook.com/dailykos/,Devilstower,2,3496.2925746367564,-2122.1922822835377
Daily Mail,right,5.0,News Media,2470,1841,0.572952911157504,https://www.allsides.com/news-source/daily-mail,0,0,0,1,Medium,https://twitter.com/@RE_DailyMail,"https://en.wikipedia.org/wiki/Daily_Mail
",https://www.facebook.com/DailyMail,RE_DailyMail,0,1427.9111398533043,-272.7212330429666
